NAME: Beijing-3
VERTICES:  2820
DEPOT:  0
REQUIRED EDGES: 1075
NON-REQUIRED EDGES: 2509
VEHICLES: 18
CAPACITY: 25000
TOTAL COST OF REQUIRED EDGES: 438194
NODES	COST	DEMAND
0	1	437	0
1	2	194	0
3	4	197	0
5	6	209	209
7	8	296	296
9	10	695	0
11	12	257	0
13	14	57	57
15	16	89	0
16	17	546	0
18	19	250	0
20	21	2140	0
22	23	344	344
24	25	569	0
26	27	87	0
28	29	791	0
29	30	264	0
31	32	674	0
32	33	441	441
34	0	118	0
35	36	60	60
37	38	181	181
39	40	198	0
41	42	481	0
43	44	294	0
44	45	471	471
46	29	427	0
29	47	659	659
48	49	214	214
50	51	287	287
51	52	158	0
53	54	684	0
55	53	69	0
30	29	264	0
29	28	790	0
56	57	185	185
58	59	277	0
60	61	125	125
61	62	932	0
63	64	981	981
65	66	224	0
67	68	957	957
69	70	364	0
70	51	433	0
71	72	62	0
72	73	2006	0
74	75	164	0
76	77	344	344
78	79	94	94
80	81	167	0
82	83	89	89
84	85	269	0
86	84	192	0
87	88	334	334
88	86	521	0
86	89	170	0
89	85	296	296
90	91	66	0
91	92	202	0
93	94	62	62
94	95	476	0
96	97	491	491
98	99	302	0
100	101	84	84
102	103	213	0
104	105	170	170
106	107	388	0
107	108	4119	0
109	110	53	53
111	80	56	0
112	100	94	0
113	90	290	0
114	115	224	0
115	116	257	0
116	117	130	0
117	118	269	0
118	119	686	0
120	121	266	0
122	123	954	0
123	124	317	317
125	126	236	0
127	128	134	0
129	130	237	0
131	132	212	0
133	134	1115	0
134	135	359	0
136	137	462	0
138	139	180	0
139	140	58	58
132	141	593	0
139	142	347	347
143	144	167	0
145	146	183	0
147	148	120	0
149	150	790	790
150	151	603	603
144	152	59	59
153	154	479	0
148	155	271	0
156	157	216	0
8	158	1111	1111
159	160	197	0
160	161	498	498
162	163	1112	0
164	165	78	0
166	167	950	950
168	166	417	417
169	143	184	0
170	145	167	0
171	172	652	652
172	138	572	0
173	174	796	0
175	176	859	0
176	177	152	0
177	178	344	0
178	179	218	218
179	180	896	0
180	181	143	0
182	183	339	339
184	171	298	0
185	186	496	0
187	188	265	265
188	189	594	0
190	191	309	0
192	193	247	0
194	195	197	0
196	197	52	52
197	198	182	0
198	199	56	0
199	200	520	520
201	202	298	0
203	173	781	0
204	205	865	0
206	207	519	0
208	209	317	0
210	211	1054	0
212	213	423	0
214	215	96	0
215	198	509	0
198	216	78	78
216	217	681	0
218	219	804	804
219	220	338	0
68	221	299	0
221	222	550	0
223	224	340	340
225	226	525	525
226	227	51	0
15	17	624	0
228	229	248	0
230	228	424	424
195	231	72	0
232	233	156	0
233	234	136	0
235	236	172	172
236	237	880	0
238	239	518	518
240	241	534	0
242	243	243	0
244	245	88	0
246	247	447	0
247	248	743	743
249	250	269	0
251	252	56	56
253	254	291	291
255	246	180	0
252	256	316	0
256	257	379	0
257	258	215	0
259	260	331	331
261	262	402	0
263	264	520	0
265	266	189	189
264	267	1045	0
248	247	742	0
247	268	446	0
269	270	204	0
270	271	185	0
272	273	304	304
274	275	277	277
276	277	464	0
278	279	461	0
280	281	528	528
282	283	533	0
283	284	528	0
285	286	50	0
287	288	486	0
68	289	174	0
289	290	327	0
290	291	181	0
291	292	347	0
241	293	139	0
293	294	166	166
295	285	52	0
249	296	199	0
297	298	400	0
249	299	215	0
300	301	307	307
302	303	57	0
304	208	542	0
305	196	802	0
306	307	183	0
308	309	180	0
310	311	169	0
312	313	288	0
314	315	765	0
315	316	53	53
317	318	326	326
284	319	693	0
320	206	781	0
321	322	280	0
323	324	796	796
324	325	358	0
326	327	305	0
328	329	694	0
329	330	108	108
331	298	52	0
298	332	602	0
332	333	498	0
334	335	374	0
329	336	55	0
337	338	101	101
339	329	56	56
340	341	448	0
323	341	251	251
342	121	266	266
343	103	79	0
130	344	211	211
344	345	221	0
