NAME: Beijing-7
VERTICES: 2820
DEPOT: 0
REQUIRED EDGES: 2509
NON-REQUIRED EDGES: 1075
VEHICLES: 41
CAPACITY: 25000
TOTAL COST OF REQUIRED EDGES: 1018664
NODES	COST	DEMAND
0	1	437	437
1	2	194	0
3	4	197	0
5	6	209	0
7	8	296	296
9	10	695	695
11	12	257	0
13	14	57	57
15	16	89	0
16	17	546	546
18	19	250	250
20	21	2140	2140
22	23	344	344
24	25	569	0
26	27	87	87
28	29	791	791
29	30	264	264
31	32	674	674
32	33	441	441
34	0	118	118
35	36	60	0
37	38	181	0
39	40	198	198
41	42	481	0
43	44	294	294
44	45	471	471
46	29	427	427
29	47	659	0
48	49	214	0
50	51	287	0
51	52	158	158
53	54	684	0
55	53	69	69
30	29	264	0
29	28	790	790
56	57	185	0
58	59	277	0
60	61	125	125
61	62	932	932
63	64	981	981
65	66	224	224
67	68	957	957
69	70	364	364
70	51	433	0
71	72	62	62
72	73	2006	2006
74	75	164	0
76	77	344	344
78	79	94	94
80	81	167	167
82	83	89	0
84	85	269	269
86	84	192	192
87	88	334	0
88	86	521	521
86	89	170	0
89	85	296	296
90	91	66	66
91	92	202	202
93	94	62	0
94	95	476	0
96	97	491	0
98	99	302	302
100	101	84	84
102	103	213	213
104	105	170	170
106	107	388	388
107	108	4119	4119
109	110	53	53
111	80	56	56
112	100	94	94
113	90	290	290
114	115	224	224
115	116	257	257
116	117	130	0
117	118	269	269
118	119	686	686
120	121	266	0
122	123	954	954
123	124	317	317
125	126	236	0
127	128	134	134
129	130	237	0
131	132	212	212
133	134	1115	0
134	135	359	359
136	137	462	462
138	139	180	180
139	140	58	58
132	141	593	593
139	142	347	0
143	144	167	167
145	146	183	183
147	148	120	120
149	150	790	790
150	151	603	0
144	152	59	59
153	154	479	0
148	155	271	271
156	157	216	216
8	158	1111	1111
159	160	197	0
160	161	498	498
162	163	1112	0
164	165	78	0
166	167	950	950
168	166	417	0
169	143	184	184
170	145	167	167
171	172	652	652
172	138	572	0
173	174	796	796
175	176	859	859
176	177	152	152
177	178	344	0
178	179	218	218
179	180	896	896
180	181	143	143
182	183	339	339
184	171	298	298
185	186	496	496
187	188	265	265
188	189	594	0
190	191	309	309
192	193	247	0
194	195	197	197
196	197	52	52
197	198	182	0
198	199	56	56
199	200	520	520
201	202	298	298
203	173	781	781
204	205	865	865
206	207	519	0
208	209	317	317
210	211	1054	1054
212	213	423	423
214	215	96	96
215	198	509	509
198	216	78	78
216	217	681	0
218	219	804	0
219	220	338	338
68	221	299	0
221	222	550	0
223	224	340	0
225	226	525	525
226	227	51	51
15	17	624	624
228	229	248	248
230	228	424	424
195	231	72	72
232	233	156	156
233	234	136	136
235	236	172	172
236	237	880	880
238	239	518	518
240	241	534	534
242	243	243	0
244	245	88	88
246	247	447	447
247	248	743	743
249	250	269	0
251	252	56	56
253	254	291	291
255	246	180	180
252	256	316	0
256	257	379	379
257	258	215	215
259	260	331	0
261	262	402	0
263	264	520	520
265	266	189	0
264	267	1045	0
248	247	742	0
247	268	446	446
269	270	204	204
270	271	185	185
272	273	304	0
274	275	277	277
276	277	464	464
278	279	461	0
280	281	528	528
282	283	533	533
283	284	528	528
285	286	50	50
287	288	486	486
68	289	174	174
289	290	327	0
290	291	181	181
291	292	347	347
241	293	139	139
293	294	166	0
295	285	52	0
249	296	199	0
297	298	400	0
249	299	215	0
300	301	307	307
302	303	57	57
304	208	542	542
305	196	802	802
306	307	183	183
308	309	180	0
310	311	169	169
312	313	288	288
314	315	765	0
315	316	53	53
317	318	326	326
284	319	693	693
320	206	781	0
321	322	280	0
323	324	796	796
324	325	358	358
326	327	305	305
328	329	694	0
329	330	108	108
331	298	52	0
298	332	602	0
332	333	498	0
334	335	374	374
329	336	55	55
337	338	101	101
339	329	56	56
340	341	448	448
323	341	251	251
342	121	266	266
343	103	79	0
130	344	211	211
344	345	221	221
346	129	363	0
126	131	363	363
347	348	590	0
349	125	211	211
342	350	65	65
351	317	1061	1061
317	352	737	0
353	354	359	359
355	356	273	273
356	317	720	720
357	358	592	592
359	107	384	384
107	360	4704	4704
361	362	170	170
363	357	170	0
189	364	97	0
365	366	414	414
366	367	257	257
367	368	93	0
369	370	292	292
370	371	187	187
371	372	223	223
373	374	801	801
374	365	698	698
375	376	767	767
251	377	163	0
378	379	855	855
380	381	1082	1082
381	382	354	354
382	383	359	359
384	307	514	514
307	385	509	0
386	387	321	321
388	389	374	374
206	390	342	0
390	391	416	416
392	393	135	135
393	394	816	816
394	395	104	104
395	396	328	328
396	397	459	459
398	399	178	178
399	400	78	78
400	401	306	306
402	335	176	0
335	403	316	316
404	405	72	72
406	407	70	70
364	408	710	710
77	409	603	603
408	410	288	288
411	412	336	336
412	413	415	415
413	414	1489	1489
414	415	394	0
416	417	379	379
418	208	169	169
419	420	763	0
421	244	111	111
422	423	321	321
423	424	67	67
424	423	67	0
425	426	892	892
427	428	288	288
429	430	505	505
431	432	568	568
265	433	775	775
433	155	70	0
434	435	92	92
436	437	391	0
437	438	342	0
438	439	89	0
440	441	143	143
442	443	155	0
443	444	332	0
245	445	72	72
446	447	218	0
447	448	118	118
448	449	153	153
449	450	149	149
451	405	273	273
452	453	75	75
453	454	430	0
454	455	1061	1061
455	456	986	986
457	458	139	0
459	460	113	113
461	462	181	181
463	464	207	207
465	466	639	639
466	467	620	620
468	469	70	0
470	471	289	289
472	473	426	426
474	470	289	289
475	474	55	55
417	476	165	165
477	478	2806	2806
462	479	414	414
480	481	835	835
482	483	350	0
483	484	348	348
484	485	261	261
486	487	301	301
487	488	212	212
489	462	240	240
490	491	248	248
492	482	448	0
493	494	449	0
495	496	370	370
497	498	57	0
498	499	63	63
499	500	725	725
500	501	365	365
202	502	653	653
503	504	285	285
505	506	126	126
506	507	225	225
508	509	88	0
509	510	663	663
511	512	102	0
513	514	894	894
514	194	166	166
515	516	50	50
517	518	611	611
519	520	1013	1013
521	522	311	0
523	156	81	81
524	525	117	117
525	526	234	234
526	527	165	165
528	529	576	576
529	530	185	0
530	290	427	0
528	531	429	429
531	532	62	0
533	534	506	506
535	536	439	439
537	475	397	0
538	539	642	642
539	540	524	0
540	293	838	838
541	175	284	284
542	543	688	688
544	545	365	365
545	546	412	412
546	547	324	324
161	548	212	0
548	549	669	0
550	551	53	53
552	553	486	486
553	554	864	864
554	555	60	60
556	230	316	316
557	558	112	112
558	559	416	416
560	561	435	435
562	563	86	86
564	565	1141	0
566	211	668	668
567	568	451	0
568	569	398	398
570	571	386	386
571	572	120	120
572	573	131	131
574	575	109	109
563	576	329	329
577	578	775	775
578	579	291	291
580	581	415	415
582	583	403	0
583	584	604	0
585	586	501	0
587	588	91	91
589	590	1083	1083
236	591	82	82
592	593	243	243
593	594	175	175
409	595	824	824
596	597	87	0
598	593	274	0
593	599	217	217
409	600	598	598
601	602	74	0
603	465	84	84
604	598	349	349
