NAME: Hefei-1
VERTICES:  850
DEPOT:  0
REQUIRED EDGES: 121
NON-REQUIRED EDGES: 1091
VEHICLES: 7
CAPACITY: 9000
TOTAL COST OF REQUIRED EDGES: 54773
NODES	COST	DEMAND
0	1	663	0
2	3	825	0
3	4	295	0
5	6	170	0
6	7	133	0
7	8	195	195
9	10	105	0
10	11	223	0
11	12	579	0
12	13	1453	0
14	15	156	156
15	16	174	0
16	17	198	0
18	19	580	0
19	20	2026	0
20	21	599	0
21	22	294	0
22	23	904	0
23	24	269	0
24	25	528	0
26	27	496	496
27	28	193	0
29	30	424	0
30	31	262	0
32	33	293	0
33	34	298	0
34	35	271	0
35	36	107	0
37	38	371	0
39	40	504	0
40	41	433	0
41	42	372	0
42	43	334	0
44	45	1252	0
45	46	1841	0
46	47	477	0
47	48	403	0
48	49	449	449
49	50	132	0
51	52	278	0
52	53	561	0
53	54	299	0
54	55	147	147
55	56	323	0
56	57	251	0
57	58	517	0
58	59	919	0
59	60	772	772
61	62	466	0
63	64	776	0
64	65	232	0
65	66	593	0
66	67	166	0
67	68	1097	0
68	69	430	0
69	70	587	0
70	71	359	0
71	72	636	0
73	74	378	0
74	75	515	0
76	77	742	0
78	79	847	0
80	81	507	0
81	82	215	0
83	84	252	0
84	42	373	0
42	85	289	0
85	86	221	0
87	88	285	0
88	89	495	0
90	91	347	0
91	92	318	0
92	93	871	0
93	94	947	0
94	95	206	0
95	96	469	0
96	97	218	218
97	98	1183	0
98	99	423	0
99	100	982	0
100	101	460	0
101	102	488	0
103	104	227	0
104	105	415	0
105	106	358	0
106	107	229	0
107	108	254	0
108	109	1670	0
110	111	574	0
111	112	480	0
112	113	373	0
113	114	298	0
114	115	602	0
116	117	636	0
115	118	671	671
118	119	315	0
119	120	507	0
119	121	308	0
121	122	299	0
122	123	305	0
123	124	412	412
124	125	513	0
126	127	216	216
127	128	281	0
128	129	247	0
129	130	305	0
130	131	334	0
131	132	310	0
132	133	368	0
133	134	337	0
134	135	331	331
