NAME : sz1
VERTICES : 2931
DEPOT : 1
INDEX	NODES	COST	DEMAND
11301	1	5	1004	
11302	2	1	715	
11303	3	2	1167	
11304	4	3	751	
11401	3	4	627	
11402	2	3	1124	
11403	1	2	840	
11404	5	1	924	
12101	6	18	796	
12102	7	6	627	
12103	8	7	1181	
12104	9	8	1215	
12105	10	9	477	
12106	11	10	573	
12107	12	11	359	
12108	13	12	805	
12109	14	13	936	
12110	15	14	870	
12111	5	15	1216	
12112	17	5	717	
12201	5	17	1377	
12202	15	5	241	
12203	14	15	1112	
12204	13	14	775	
12205	12	13	782	
12206	11	12	627	
12207	10	11	297	
12208	9	10	711	
12209	8	9	1308	
12210	7	8	548	
12211	6	7	1328	
12212	18	6	888	
13301	19	24	3277	
13302	20	19	1657	
13303	21	20	2371	
13304	22	21	2375	
13305	23	22	4355	
13401	22	23	4348	
13402	21	22	2379	
13403	20	21	2366	
13404	19	20	1634	
13405	24	19	3443	
14101	25	17	1925	
14102	26	25	1843	
14103	27	26	2262	
14104	28	27	824	
14105	29	28	1008	
14106	30	29	1055	
14107	31	30	796	
14108	32	31	321	
14201	31	32	785	
14202	30	31	520	
14203	29	30	956	
14204	28	29	921	
14205	27	28	1318	
14206	26	27	1770	
14207	25	26	1847	
14208	17	25	2174	
15101	34	50	2355	
15102	35	34	786	
15103	36	35	492	
15104	37	36	589	
15105	38	37	859	
15106	39	38	890	
15107	40	39	1185	
15108	4	40	943	
15109	42	4	3070	
15110	43	42	1478	
15111	44	43	1398	
15112	45	44	597	
15113	46	45	1534	
15114	47	46	1215	
15115	48	47	675	
15116	49	48	1301	
15201	48	49	1380	
15202	47	48	1025	
15203	46	47	1334	
15204	45	46	1066	
15205	44	45	1012	
15206	43	44	1134	
15207	42	43	1307	
15208	4	42	3184	
15209	40	4	1036	
15210	39	40	575	
15211	38	39	635	
15212	37	38	1361	
15213	36	37	140	
15214	35	36	1200	
15215	34	35	550	
15216	50	34	2341	
16301	51	52	1008	
16401	52	51	1009	
17101	53	58	455	
17102	54	53	583	
17103	2	54	1037	
17104	56	2	784	
17105	57	56	553	
17201	56	57	542	
17202	2	56	798	
17203	54	2	1032	
17204	53	54	571	
17205	58	53	463	
18301	59	60	1198	
18401	60	59	1183	
19301	61	62	708	
19401	62	61	992	
20101	63	498	875	
20102	64	63	984	
20103	65	64	573	
20104	66	65	428	
20201	65	66	398	
140204	67	299	726	
140205	68	67	864	
140206	69	68	595	
140207	70	69	594	
140208	71	70	553	
141301	72	79	1001	
141302	73	72	543	
141303	68	73	573	
141304	75	68	559	
141305	76	75	535	
141306	30	76	771	
141307	78	30	408	
141401	30	78	406	
141402	76	30	772	
141403	75	76	532	
141404	68	75	568	
141405	73	68	569	
141406	72	73	539	
141407	79	72	1006	
142301	80	82	5342	
142302	81	80	3075	
142401	80	81	3225	
142402	82	80	5346	
143301	83	85	2894	
143302	84	83	2157	
143401	83	84	2151	
143402	85	83	2899	
144301	80	83	1720	
144302	87	80	1774	
144303	88	87	846	
144304	89	88	895	
144305	90	89	653	
144306	91	90	410	
144307	92	91	996	
144308	93	92	912	
144401	92	93	748	
144402	91	92	1183	
144403	90	91	410	
144404	89	90	641	
144405	88	89	885	
144406	87	88	1035	
144407	80	87	1597	
144408	83	80	1700	
145301	95	127	354	
145302	92	95	673	
145303	97	92	930	
145304	98	97	436	
145305	99	98	563	
145306	100	99	1062	
145307	101	100	1159	
145308	102	101	821	
145309	103	102	750	
145310	104	103	1154	
145311	105	104	1780	
145312	106	105	906	
145313	107	106	658	
145314	108	107	929	
145315	109	108	2819	
145316	110	109	743	
145317	111	110	1973	
145318	112	111	466	
145319	113	112	702	
145320	114	113	794	
145321	115	114	909	
145322	116	115	376	
145323	117	116	1819	
145324	118	117	777	
145325	119	118	750	
145326	120	119	1801	
145327	121	120	1750	
145328	122	121	679	
145329	123	122	1383	
145330	124	123	443	
145331	125	124	792	
145332	126	125	3268	
145401	125	126	3291	
145402	124	125	789	
145403	123	124	485	
145404	122	123	1331	
145405	121	122	678	
145406	120	121	1752	
145407	119	120	1802	
145408	118	119	764	
145409	117	118	762	
145410	116	117	1814	
145411	115	116	388	
145412	114	115	902	
145413	113	114	803	
145414	112	113	730	
145415	111	112	446	
145416	110	111	1975	
145417	109	110	747	
145418	108	109	3104	
145419	107	108	658	
145420	106	107	640	
145421	105	106	913	
145422	104	105	1854	
145423	103	104	1096	
145424	102	103	746	
145425	101	102	825	
145426	100	101	1155	
145427	99	100	1058	
145428	98	99	602	
145429	97	98	518	
145430	92	97	897	
145431	95	92	594	
145432	127	95	274	
146301	128	27	924	
240305	129	133	2129	
240306	130	129	2177	
240307	131	130	2862	
240308	132	131	841	
240401	131	132	858	
240402	130	131	2638	
240403	129	130	2504	
240404	133	129	2053	
240405	134	133	1460	
240406	135	134	1553	
240407	136	135	606	
240408	137	136	496	
241301	138	141	407	
241302	139	138	3219	
241303	140	139	2842	
241401	139	140	2867	
241402	138	139	3205	
241403	141	138	409	
242101	142	148	1898	
242102	122	142	525	
242103	144	122	665	
242104	145	144	481	
242105	146	145	557	
242106	147	146	1863	
242201	146	147	1879	
242202	145	146	546	
242203	144	145	483	
242204	122	144	679	
242205	142	122	514	
242206	148	142	1889	
243104	149	155	2098	
243105	121	149	526	
243106	151	121	537	
243107	152	151	720	
243108	153	152	1256	
243109	154	153	1720	
243201	153	154	1643	
243202	152	153	1256	
243203	151	152	719	
243204	121	151	551	
243205	149	121	525	
243206	155	149	2105	
244101	156	163	694	
244102	119	156	1097	
244103	158	119	470	
244104	159	158	743	
244105	160	159	519	
244106	161	160	797	
244107	162	161	768	
244201	161	162	784	
244202	160	161	786	
244203	159	160	517	
244204	158	159	745	
244205	119	158	479	
244206	156	119	1097	
244207	163	156	680	
245101	164	170	750	
245102	117	164	1096	
245103	166	117	1177	
245104	167	166	772	
245105	168	167	975	
245106	169	168	770	
245201	168	169	1936	
245202	167	168	970	
245203	166	167	768	
245204	117	166	1147	
245205	164	117	1079	
245206	170	164	763	
246101	171	174	1045	
246102	114	171	690	
