INDEX	EDGE	VERTEX
1	香蜜湖路	深南大道
2	香蜜湖路	红荔西路
3	香蜜湖路	侨香路
4	香蜜湖路	北环大道
5	香蜜湖路	滨河大道
6	滨河大道	红岭南路
7	滨河大道	上步南路
8	滨河大道	华强南路
9	滨河大道	福田路
10	滨河大道	皇岗路
11	滨河大道	彩田路
12	滨河大道	金田路(福田)
13	滨河大道	益田路
14	滨河大道	新洲路
15	滨河大道	沙嘴路
16	滨河大道	香蜜湖路
17	滨河大道	滨海大道
18	滨河大道	船步路
19	福龙路	南坪快速路
20	福龙路	留仙大道
21	福龙路	人民路(龙华)
22	福龙路	和平路(龙华)
23	福龙路	布龙公路
24	福龙路	北环大道
25	滨海大道	侨城东路
26	滨海大道	深湾五路
27	滨海大道	沙河东路
28	滨海大道	沙河西路
29	滨海大道	科苑南路
30	滨海大道	后海大道
31	滨海大道	南海大道
32	滨海大道	南山大道
33	滨海大道	滨河大道
34	北环大道	皇岗路
35	北环大道	彩田路
36	北环大道	中康路
37	北环大道	梅村路
38	北环大道	新洲路
39	北环大道	景田路
40	北环大道	香梅路
41	北环大道	香蜜湖路
42	北环大道	南坪快速路
43	北环大道	侨香路
44	北环大道	沙河东路
45	北环大道	沙河西路
46	北环大道	科苑北路
47	北环大道	南海大道
48	北环大道	南山大道
49	北环大道	深南大道
50	北环大道	泥岗西路
51	福田南路	滨河大道辅道
52	福田南路	百合路
53	红荔西路	景田路
54	红荔西路	香梅路
55	红荔西路	香蜜湖路
56	红荔西路	农园路
57	红荔西路	农林路
58	红荔西路	新洲路
59	皇岗北路	梅观路
60	皇岗北路	北环大道
61	梅丽路	梅林路
62	梅丽路	梅华路
63	深南中路	上步中路
64	深南中路	华强北路
65	深南中路	华富路
66	深南中路	深南大道
67	东滨路	南海大道
68	东滨路	后海大道
69	东滨路	后海滨路
70	东滨路	科苑大道
71	东滨路	沙河西路
72	后海大道	工业七路
73	后海大道	工业八路
74	后海大道	东滨路
75	后海大道	登良路
76	后海大道	创业路(南山)
77	后海大道	滨海大道
78	后海大道	学府路
79	后海大道	八号路
80	兴海大道	月亮湾大道
81	兴海大道	广深沿江高速
82	兴海大道	西港路
83	妈湾大道	月亮湾大道
84	妈湾大道	听海路
85	妈湾大道	右炮台路
86	月亮湾大道	兴海大道
87	月亮湾大道	沿江高速
88	月亮湾大道	东滨路
89	月亮湾大道	桂庙路
90	月亮湾大道	学府路
91	月亮湾大道	桃园路
92	月亮湾大道	宝安大道
93	月亮湾大道	北环大道
94	月亮湾大道	妈湾大道
95	宝安大道	前海路
96	宝安大道	月亮湾大道
97	宝安大道	湖滨中路
98	宝安大道	新安一路
99	宝安大道	兴华一路
100	宝安大道	裕安一路
101	宝安大道	新安六路
102	宝安大道	海城路
103	宝安大道	西乡大道
104	宝安大道	银田路
105	宝安大道	固戍一路
106	宝安大道	航城大道
107	宝安大道	疏港通道
108	宝安大道	机场南路
109	宝安大道	兴华路(福永)
110	宝安大道	机场道
111	宝安大道	翠岗西路
112	宝安大道	福永大道
113	宝安大道	永福路
114	宝安大道	福海大道
115	宝安大道	重庆路
116	宝安大道	桥和路
117	宝安大道	凤塘大道
118	宝安大道	南波大道
119	宝安大道	南环路
120	宝安大道	新沙路(沙井)
121	宝安大道	北环路
122	宝安大道	新和大道
123	宝安大道	广深高速公路
124	宝安大道	松明大道
125	宝安大道	沙江路
126	宝安大道	广深公路
127	宝安大道	深南大道
128	沙河东路	白石路
129	洲石公路	黄布麻路
130	洲石公路	南光高速公路
131	洲石公路	塘头大道
132	洲石公路	松白路
133	洲石公路	九围路
134	洲石公路	机荷高速公路
135	洲石公路	广深高速公路
136	洲石公路	前进二路
137	洲石公路	广深公路
138	宝石路	上川路
139	宝石路	南光高速公路
140	宝石路	松白路
141	宝石路	创业二路
142	新和大道	中心路(宝安)
143	新和大道	宝安大道
144	新和大道	大埔路
145	新和大道	环镇路
146	新和大道	沙井路
147	新和大道	西环路(沙井)
148	新和大道	广深公路
149	北环路	中心路(宝安)
150	北环路	宝安大道
151	北环路	岗头路
152	北环路	环镇路
153	北环路	西环路(沙井)
154	北环路	锦程路
155	北环路	广深公路
156	南环路	中心路(宝安)
157	南环路	宝安大道
158	南环路	环镇路
159	南环路	沙井路
160	南环路	西环路(沙井)
161	南环路	松福大道
162	南环路	锦程路
163	南环路	广深公路
164	凤塘大道	大洋路
165	凤塘大道	宝安大道
166	凤塘大道	桥塘路
167	凤塘大道	永福路
168	凤塘大道	松福大道
169	凤塘大道	沿江高速
170	凤塘大道	凤凰山大道
171	福海大道	政丰北路
172	福海大道	宝安大道
173	福海大道	永福路
174	福海大道	广深公路
175	永福路	福海大道
176	永福路	豪业路
177	永福路	重庆路
178	永福路	桥和路
179	永福路	荔园路(福永)
180	永福路	凤塘大道
181	永福路	兴业西路
182	永福路	西环路(沙井)
183	永福路	宝安大道
184	宝源路	海城路
185	宝源路	西乡大道
186	宝源路	银田路
187	宝源路	碧湾路
188	宝源路	文昌路
189	宝源路	航城大道
190	宝源路	疏港通道
191	宝源路	新安六路
192	新安六路	新湖路
193	新安六路	宝源路
194	新安六路	海宾大道
195	沙河东路	深南大道
196	沙河东路	香山西街
197	沙河东路	北环大道
198	沙河东路	广深高速公路
199	沙河东路	滨海大道
200	沙河西路	滨海大道
201	沙河西路	高新南十道
202	沙河西路	白石路
203	沙河西路	深南大道
204	沙河西路	北环大道
205	沙河西路	广深高速公路
206	沙河西路	茶光路
207	沙河西路	留仙大道
208	沙河西路	西丽路
209	沙河西路	同发路
210	沙河西路	同乐路
211	沙河西路	松白路
212	沙河西路	望海路
